                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3386,                 0.9584,                 1.2936,                0.77885,                0.70438,                0.71305,                0.52463,                0.91591,                 0.9293,                 1.1759,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3455,                0.94458,                  1.288,                0.76282,                0.69231,                0.72651,                0.53825,                0.89497,                0.92096,                 1.1345,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3421,                0.95573,                 1.2856,                0.74628,                0.72308,                0.74406,                0.55519,                0.83554,                0.90091,                  1.103,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3176,                0.92219,                 1.2755,                0.71488,                0.75385,                0.74396,                0.55792,                 0.8861,                0.90347,                 1.1537,                0.00101,                0.00101,                0.00101
                     52,                 1.3269,                0.93468,                 1.2874,                0.77645,                0.68462,                0.74626,                0.55947,                0.90557,                0.90656,                 1.1603,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3302,                0.93241,                 1.2804,                 0.7154,                    0.7,                0.70934,                0.52018,                0.89544,                 0.9673,                 1.1553,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3207,                 0.9136,                 1.2759,                0.77015,                0.68462,                0.74481,                0.54614,                0.90251,                0.89001,                 1.1577,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3222,                0.92977,                 1.2811,                0.77889,                0.70769,                0.75371,                0.57661,                 0.8574,                0.88404,                 1.1294,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3136,                0.90582,                 1.2697,                0.75011,                0.72308,                 0.7306,                0.54117,                0.93249,                0.95074,                 1.1471,               0.000911,               0.000911,               0.000911
                     57,                 1.3115,                0.89945,                 1.2682,                 0.7123,                    0.7,                0.72519,                0.53522,                0.96901,                0.96016,                 1.1928,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3093,                0.90647,                 1.2719,                0.75711,                0.69537,                0.74485,                0.55101,                0.92802,                0.88966,                 1.1643,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3018,                 0.9043,                 1.2696,                0.77032,                0.72239,                0.75343,                0.56355,                0.86613,                0.88106,                 1.1208,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.307,                0.88666,                 1.2614,                 0.8253,                0.68462,                0.75914,                0.56156,                0.92423,                0.86057,                 1.1361,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2943,                0.87989,                 1.2564,                0.77961,                0.69231,                0.75081,                0.55134,                0.89296,                0.87626,                 1.1268,               0.000812,               0.000812,               0.000812
                     62,                 1.3026,                0.88586,                 1.2597,                0.78442,                0.68462,                0.73547,                0.55038,                0.88874,                0.89009,                 1.1228,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.289,                0.87077,                 1.2549,                0.76807,                0.72308,                0.74054,                0.56079,                0.85075,                0.85372,                 1.1156,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2874,                0.85578,                 1.2499,                0.79328,                0.67894,                0.71943,                0.52994,                0.94513,                0.91374,                 1.1733,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2864,                 0.8516,                  1.253,                0.76817,                    0.7,                0.73347,                0.53482,                0.94563,                0.97022,                 1.1637,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2939,                0.86616,                 1.2501,                0.74223,                0.67692,                0.73672,                0.54634,                0.88942,                0.93372,                 1.1207,               0.000713,               0.000713,               0.000713
                     67,                 1.2713,                0.86173,                 1.2452,                0.76462,                0.66923,                0.72244,                0.53346,                0.88727,                0.90976,                 1.1288,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2812,                0.85382,                 1.2447,                0.80078,                0.66923,                 0.7105,                0.52258,                0.89504,                0.91973,                 1.1285,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2769,                0.85328,                  1.247,                0.82292,                0.64615,                0.71977,                0.53908,                0.90295,                0.94083,                 1.1308,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2581,                0.84225,                 1.2336,                0.82399,                0.63846,                0.71988,                0.52405,                 0.9409,                0.97887,                 1.1789,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2605,                0.84254,                  1.232,                0.79495,                0.66154,                0.74756,                0.54739,                0.92979,                0.95506,                 1.1747,               0.000614,               0.000614,               0.000614
                     72,                 1.2662,                0.83196,                  1.236,                0.79656,                0.66923,                0.73857,                0.54208,                0.87282,                0.94443,                 1.1267,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2603,                0.82574,                 1.2353,                0.71174,                0.74615,                0.72598,                0.53402,                 0.8908,                0.93356,                 1.1257,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2567,                0.82917,                 1.2313,                0.81956,                0.71538,                0.74966,                0.56351,                0.87277,                0.84711,                 1.1141,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2517,                0.81825,                 1.2301,                0.79363,                0.66154,                0.74348,                0.54328,                0.90883,                0.87383,                 1.1394,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2496,                0.81747,                 1.2275,                0.81185,                0.65385,                0.74444,                0.55302,                0.89806,                0.84926,                 1.1394,               0.000515,               0.000515,               0.000515
                     77,                 1.2499,                0.81683,                 1.2203,                0.77272,                0.70613,                0.75497,                0.54876,                0.93231,                0.85302,                 1.1816,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2389,                0.80448,                 1.2213,                0.78995,                    0.7,                0.74348,                0.55888,                0.89498,                0.85607,                 1.1194,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2591,                0.81452,                 1.2293,                0.77006,                0.67692,                 0.7378,                0.55171,                 0.9037,                0.85833,                  1.133,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2299,                0.79104,                 1.2133,                0.82247,                0.67709,                0.74817,                0.53255,                0.93336,                0.87492,                 1.1482,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2349,                0.80069,                 1.2211,                0.76758,                0.71133,                0.73827,                0.54045,                0.91276,                0.89164,                 1.1333,               0.000416,               0.000416,               0.000416
                     82,                 1.2317,                 0.8019,                 1.2175,                0.79514,                0.68462,                0.74439,                0.54845,                0.91026,                0.85828,                 1.1276,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2296,                0.79877,                 1.2138,                0.81039,                    0.7,                0.73138,                0.54149,                0.93317,                0.88562,                   1.14,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2269,                0.79336,                 1.2159,                 0.7879,                0.68579,                0.72577,                 0.5334,                0.92176,                0.86839,                 1.1332,              0.0003566,              0.0003566,              0.0003566
